捷運站別,入　站,出　站
R3 小港站,224018 ,224054 
R4 高雄國際機場站,66491 ,63855 
R4A 草衙站,88023 ,91334 
R5 前鎮高中站,133608 ,130680 
R6 凱旋站,145556 ,149024 
R7 獅甲站,88808 ,92214 
R8 三多商圈站,323180 ,331156 
R9 中央公園站,282617 ,274366 
R11 高雄車站,447239 ,453235 
R12 後驛站,166029 ,171911 
R13 凹子底站,147221 ,154897 
R14 巨蛋站,388632 ,401232 
R15 生態園區站,111697 ,115882 
R16 左營站,464760 ,445399 
R17 世運站,46889 ,40378 
R18 油廠國小站,84093 ,82712 
R19 楠梓加工區站,124393 ,132018 
R20 後勁站,48551 ,47857 
R21 都會公園站,99054 ,99861 
R22 青埔站,27883 ,27534 
R22A 橋頭糖廠站,31912 ,32887 
R23 橋頭火車站,84205 ,80789 
R24 南岡山站,139977 ,143618 
O1 西子灣站,129445 ,131242 
O2 鹽埕埔站,107413 ,114049 
O4 市議會站,79138 ,82647 
O5 R10 美麗島站,223734 ,211636 
O6 信義國小站,60673 ,63105 
O7 文化中心站,111130 ,104790 
O8 五塊厝站,59198 ,57524 
O9 技擊館站,69617 ,54000 
O10 衛武營站,62608 ,57340 
O11 鳳山西站,93902 ,89515 
O12 鳳山站,56190 ,57639 
O13 大東站,55206 ,58238 
O14 鳳山國中站,52703 ,50187 
OT1 大寮站,106182 ,113170 
R3 小港站,224018,224054
R4 高雄國際機場站,66491,63855
R4A 草衙站,88023,91334
R5 前鎮高中站,133608,130680
R6 凱旋站,145556,149024
R7 獅甲站,88808,92214
R8 三多商圈站,323180,331156
R9 中央公園站,282617,274366
R11 高雄車站,447239,453235
R12 後驛站,166029,171911
R13 凹子底站,147221,154897
R14 巨蛋站,388632,401232
R15 生態園區站,111697,115882
R16 左營站,464760,445399
R17 世運站,46889,40378
R18 油廠國小站,84093,82712
R19 楠梓加工區站,124393,132018
R20 後勁站,48551,47857
R21 都會公園站,99054,99861
R22 青埔站,27883,27534
R22A 橋頭糖廠站,31912,32887
R23 橋頭火車站,84205,80789
R24 南岡山站,139977,143618
O1 西子灣站,129445,131242
O2 鹽埕埔站,107413,114049
O4 市議會站,79138,82647
O5 R10 美麗島站,223734,211636
O6 信義國小站,60673,63105
O7 文化中心站,111130,104790
O8 五塊厝站,59198,57524
O9 技擊館站,69617,54000
O10 衛武營站,62608,57340
O11 鳳山西站,93902,89515
O12 鳳山站,56190,57639
O13 大東站,55206,58238
O14 鳳山國中站,52703,50187
OT1 大寮站,106182,113170